Date,MSPUS,CPI,Effective_Federal_Funds_Rate,Real_GDP_(Percent_Change),Unemployment_Rate,Inflation_Rate,Annual Earnings
2013Q3,264800,135.19366666666667,0.08333333333333333,3.1,7.266666666666667,1.7333333333333334,40092
2013Q4,273600,135.17533333333333,0.08666666666666667,4.0,6.933333333333334,1.7,40872
2014Q1,275200,136.707,0.07333333333333335,-1.2,6.666666666666667,1.6333333333333335,41392
2014Q2,288000,137.75766666666667,0.09333333333333334,4.0,6.2,1.8999999999999997,40560
2014Q3,281000,138.81033333333332,0.09000000000000001,5.0,6.1000000000000005,1.7666666666666666,41080
2014Q4,298900,138.71266666666665,0.09999999999999999,2.3,5.7,1.7,41548
2015Q1,289200,139.403,0.11,2.0,5.533333333333334,1.7,42016
2015Q2,289100,140.18366666666665,0.12333333333333334,2.6,5.3999999999999995,1.7666666666666666,41652
2015Q3,295800,141.22566666666668,0.1366666666666667,2.0,5.1000000000000005,1.8333333333333333,41756
2015Q4,302500,141.165,0.16,0.9,5.0,2.0,42900
2016Q1,299800,141.939,0.36000000000000004,0.8,4.933333333333334,2.2333333333333334,43160
2016Q2,306000,143.07066666666665,0.37333333333333335,1.4,4.866666666666666,2.166666666666667,42848
2016Q3,303800,144.37666666666667,0.39666666666666667,3.5,4.9,2.2333333333333334,43004
2016Q4,310900,144.83833333333334,0.45,1.9,4.699999999999999,2.1333333333333333,44148
2017Q1,313100,146.10133333333332,0.655,0.9882352941176471,4.75,2.25,44980
